00:00:E8;ACCTON TECHNOLO
00:00:E9;ISICAD,INC.
00:00:EA;UPNOD AB
00:00:EB;MATSUSHITA COMM
00:00:EC;MICROPROCESS
00:00:ED;APRIL
00:00:EE;NETWORK DESIGNE
00:00:EF;KTI
00:00:F0;SAMSUNG ELECTRO
00:00:F1;MAGNA COMPUTER 
00:00:F2;SPIDER COMMUNIC
00:00:F3;GANDALF DATA LI
00:00:F4;Allied Telesis
00:00:F5;DIAMOND SALES L
00:00:F6;APPLIED MICROSY
00:00:F7;YOUTH KEEP ENTE
00:00:F8;DIGITAL EQUIPME
00:00:F9;QUOTRON SYSTEMS
00:00:FA;MICROSAGE COMPU
00:00:FB;RECHNER ZUR KOM
00:00:FC;MEIKO
00:00:FD;HIGH LEVEL HARD
00:00:FE;ANNAPOLIS MICRO
00:00:FF;CAMTEC ELECTRON
00:01:00;EQUIP'TRANS
00:01:01;PRIVATE
00:01:02;3COM CORPORATIO
00:01:03;3COM CORPORATIO
00:01:04;DVICO Co.,Ltd.
00:01:05;Beckhoff Automa
00:01:06;Tews Datentechn
00:01:07;Leiser GmbH
00:01:08;AVLAB Technolog
00:01:09;Nagano Japan Ra
00:01:0A;CIS TECHNOLOGY 
00:01:0B;Space CyberLink
00:01:0C;System Talks In
00:01:0D;CORECO,INC.
00:01:0E;Bri-Link Techno
00:01:0F;Brocade Communi
00:01:10;Gotham Networks
00:01:11;iDigm Inc.
00:01:12;Shark Multimedi
00:01:13;OLYMPUS CORPORA
00:01:14;KANDA TSUSHIN K
00:01:15;EXTRATECH CORPO
00:01:16;Netspect Techno
00:01:17;CANAL +
00:01:18;EZ Digital Co.,
00:01:19;RTUnet (Austral
00:01:1A;EEH DataLink Gm
00:01:1B;Unizone Technol
00:01:1C;Universal Talkw
00:01:1D;Centillium Comm
00:01:1E;Precidia Techno
00:01:1F;RC Networks,Inc
00:01:20;OSCILLOQUARTZ S
00:01:21;Watchguard Tech
00:01:22;Trend Communica
00:01:23;DIGITAL ELECTRO
00:01:24;Acer Incorporat
00:01:25;YAESU MUSEN CO.
00:01:26;PAC Labs
00:01:27;OPEN Networks P
00:01:28;EnjoyWeb,Inc.
00:01:29;DFI Inc.
00:01:2A;Telematica Sist
00:01:2B;TELENET Co.,Ltd
00:01:2C;Aravox Technolo
00:01:2D;Komodo Technolo
00:01:2E;PC Partner Ltd.
00:01:2F;Twinhead Intern
00:01:30;Extreme Network
00:01:31;Detection Syste
00:01:32;Dranetz - BMI
00:01:33;KYOWA Electroni
00:01:34;Selectron Syste
00:01:35;KDC Corp.
00:01:36;CyberTAN Techno
00:01:37;IT Farm Corpora
00:01:38;XAVi Technologi
00:01:39;Point Multimedi
00:01:3A;SHELCAD COMMUNI
00:01:3B;BNA SYSTEMS
00:01:3C;TIW SYSTEMS
00:01:3D;RiscStation Ltd
00:01:3E;Ascom Tateco AB
00:01:3F;Neighbor World 
00:01:40;Sendtek Corpora
00:01:41;CABLE PRINT
00:01:42;Cisco Systems,I
00:01:43;Cisco Systems,I
00:01:44;EMC Corporation
00:01:45;WINSYSTEMS,INC.
00:01:46;Tesco Controls,
00:01:47;Zhone Technolog
00:01:48;X-traWeb Inc.
00:01:49;T.D.T. Transfer
00:01:4A;Sony Corporatio
00:01:4B;Ennovate Networ
00:01:4C;Berkeley Proces
00:01:4D;Shin Kin Enterp
00:01:4E;WIN Enterprises
00:01:4F;ADTRAN INC
00:01:50;GILAT COMMUNICA
00:01:51;Ensemble Commun
00:01:52;CHROMATEK INC.
00:01:53;ARCHTEK TELECOM
00:01:54;G3M Corporation
00:01:55;Promise Technol
00:01:56;FIREWIREDIRECT.
00:01:57;SYSWAVE CO.,LTD
00:01:58;Electro Industr
00:01:59;S1 Corporation
00:01:5A;Digital Video B
00:01:5B;ITALTEL S.p.A/R
00:01:5C;CADANT INC.
00:01:5D;Sun Microsystem
00:01:5E;BEST TECHNOLOGY
00:01:5F;DIGITAL DESIGN 
00:01:60;ELMEX Co.,LTD.
00:01:61;Meta Machine Te
00:01:62;Cygnet Technolo
00:01:63;Cisco Systems,I
00:01:64;Cisco Systems,I
00:01:65;AirSwitch Corpo
00:01:66;TC GROUP A/S
00:01:67;HIOKI E.E. CORP
00:01:68;VITANA CORPORAT
00:01:69;Celestix Networ
00:01:6A;ALITEC
00:01:6B;LightChip,Inc.
00:01:6C;FOXCONN
00:01:6D;CarrierComm Inc
00:01:6E;Conklin Corpora
00:01:6F;Inkel Corp.
00:01:70;ESE Embedded Sy
00:01:71;Allied Data Tec
00:01:72;TechnoLand Co.,
00:01:73;AMCC
00:01:74;CyberOptics Cor
00:01:75;Radiant Communi
00:01:76;Orient Silver E
00:01:77;EDSL
00:01:78;MARGI Systems,I
00:01:79;WIRELESS TECHNO
00:01:7A;Chengdu Maipu E
00:01:7B;Heidelberger Dr
00:01:7C;AG-E GmbH
00:01:7D;ThermoQuest
00:01:7E;ADTEK System Sc
00:01:7F;Experience Musi
00:01:80;AOpen,Inc.
00:01:81;Nortel Networks
00:01:82;DICA TECHNOLOGI
00:01:83;ANITE TELECOMS
00:01:84;SIEB & MEYER AG
00:01:85;Aloka Co.,Ltd.
00:01:86;Uwe Disch
00:01:87;i2SE GmbH
00:01:88;LXCO Technologi
00:01:89;Refraction Tech
00:01:8A;ROI COMPUTER AG
00:01:8B;NetLinks Co.,Lt
00:01:8C;Mega Vision
00:01:8D;AudeSi Technolo
00:01:8E;Logitec Corpora
00:01:8F;Kenetec,Inc.
00:01:90;SMK-M
00:01:91;SYRED Data Syst
00:01:92;Texas Digital S
00:01:93;Hanbyul Telecom
00:01:94;Capital Equipme
00:01:95;Sena Technologi
00:01:96;Cisco Systems,I
00:01:97;Cisco Systems,I
00:01:98;Darim Vision
00:01:99;HeiSei Electron
00:01:9A;LEUNIG GmbH
00:01:9B;Kyoto Microcomp
00:01:9C;JDS Uniphase In
00:01:9D;E-Control Syste
00:01:9E;ESS Technology,
00:01:9F;Phonex Broadban
00:01:A0;Infinilink Corp
00:01:A1;Mag-Tek,Inc.
00:01:A2;Logical Co.,Ltd
00:01:A3;GENESYS LOGIC,I
00:01:A4;Microlink Corpo
00:01:A5;Nextcomm,Inc.
00:01:A6;Scientific-Atla
00:01:A7;UNEX TECHNOLOGY
00:01:A8;Welltech Comput
00:01:A9;BMW AG
00:01:AA;Airspan Communi
00:01:AB;Main Street Net
00:01:AC;Sitara Networks
00:01:AD;Coach Master In
00:01:AE;Trex Enterprise
00:01:AF;Emerson Network
00:01:B0;Fulltek Technol
00:01:B1;General Bandwid
00:01:B2;Digital Process
00:01:B3;Precision Elect
00:01:B4;Wayport,Inc.
00:01:B5;Turin Networks,
00:01:B6;SAEJIN T&M Co.,
00:01:B7;Centos,Inc.
00:01:B8;Netsensity,Inc.
00:01:B9;SKF Condition M
00:01:BA;IC-Net,Inc.
00:01:BB;Frequentis
00:01:BC;Brains Corporat
00:01:BD;Peterson Electr
00:01:BE;Gigalink Co.,Lt
00:01:BF;Teleforce Co.,L
00:01:C0;CompuLab,Ltd.
00:01:C1;Vitesse Semicon
00:01:C2;ARK Research Co
00:01:C3;Acromag,Inc.
00:01:C4;NeoWave,Inc.
00:01:C5;Simpler Network
00:01:C6;Quarry Technolo
00:01:C7;Cisco Systems,I
00:01:C8;CONRAD CORP.
00:01:C9;Cisco Systems,I
00:01:CA;Geocast Network
00:01:CB;EVR
00:01:CC;Japan Total Des
00:01:CD;ARtem
00:01:CE;Custom Micro Pr
00:01:CF;Alpha Data Para
00:01:D0;VitalPoint,Inc.
00:01:D1;CoNet Communica
00:01:D2;MacPower Periph
00:01:D3;PAXCOMM,Inc.
00:01:D4;Leisure Time,In
00:01:D5;HAEDONG INFO & 
00:01:D6;manroland AG
00:01:D7;F5 Networks,Inc
00:01:D8;Teltronics,Inc.
00:01:D9;Sigma,Inc.
00:01:DA;WINCOMM Corpora
00:01:DB;Freecom Technol
00:01:DC;Activetelco
00:01:DD;Avail Networks
00:01:DE;Trango Systems,
00:01:DF;ISDN Communicat
00:01:E0;Fast Systems,In
00:01:E1;Kinpo Electroni
00:01:E2;Ando Electric C
00:01:E3;Siemens AG
00:01:E4;Sitera,Inc.
00:01:E5;Supernet,Inc.
00:01:E6;Hewlett-Packard
00:01:E7;Hewlett-Packard
00:01:E8;Force10 Network
00:01:E9;Litton Marine S
00:01:EA;Cirilium Corp.
00:01:EB;C-COM Corporati
00:01:EC;Ericsson Group
00:01:ED;SETA Corp.
00:01:EE;Comtrol Europe,
00:01:EF;Camtel Technolo
00:01:F0;Tridium,Inc.
00:01:F1;Innovative Conc
00:01:F2;Mark of the Uni
00:01:F3;QPS,Inc.
00:01:F4;Enterasys Netwo
00:01:F5;ERIM S.A.
00:01:F6;Association of 
00:01:F7;Image Display S
00:01:F8;Adherent System
00:01:F9;TeraGlobal Comm
00:01:FA;HOROSCAS
00:01:FB;DoTop Technolog
00:01:FC;Keyence Corpora
00:01:FD;Digital Voice S
00:01:FE;DIGITAL EQUIPME
00:01:FF;Data Direct Net
00:02:00;Net & Sys Co.,L
00:02:01;IFM Electronic 
00:02:02;Amino Communica
00:02:03;Woonsang Teleco
00:02:04;Bodmann Industr
00:02:05;Hitachi Denshi,
00:02:06;Telital R&D Den
00:02:07;VisionGlobal Ne
00:02:08;Unify Networks,
00:02:09;Shenzhen SED In
00:02:0A;Gefran Spa
00:02:0B;Native Networks
00:02:0C;Metro-Optix
00:02:0D;Micronpc.com
00:02:0E;ECI Telecom,Ltd
00:02:0F;AATR
00:02:10;Fenecom
00:02:11;Nature Worldwid
00:02:12;SierraCom
00:02:13;S.D.E.L.
00:02:14;DTVRO
00:02:15;Cotas Computer 
00:02:16;Cisco Systems,I
00:02:17;Cisco Systems,I
00:02:18;Advanced Scient
00:02:19;Paralon Technol
00:02:1A;Zuma Networks
00:02:1B;Kollmorgen-Serv
00:02:1C;Network Element
00:02:1D;Data General Co
00:02:1E;SIMTEL S.R.L.
00:02:1F;Aculab PLC
00:02:20;Canon Aptex,Inc
00:02:21;DSP Application
00:02:22;Chromisys,Inc.
00:02:23;ClickTV
00:02:24;C-COR
00:02:25;One Stop System
00:02:26;XESystems,Inc.
00:02:27;ESD Electronic 
00:02:28;Necsom,Ltd.
00:02:29;Adtec Corporati
00:02:2A;Asound Electron
00:02:2B;SAXA,Inc.
00:02:2C;ABB Bomem,Inc.
00:02:2D;Agere Systems
00:02:2E;TEAC Corp. R& D
00:02:2F;P-Cube,Ltd.
00:02:30;Intersoft Elect
00:02:31;Ingersoll-Rand
00:02:32;Avision,Inc.
00:02:33;Mantra Communic
00:02:34;Imperial Techno
00:02:35;Paragon Network
00:02:36;INIT GmbH
00:02:37;Cosmo Research 
00:02:38;Serome Technolo
00:02:39;Visicom
00:02:3A;ZSK Stickmaschi
00:02:3B;Redback Network
00:02:3C;Creative Techno
00:02:3D;NuSpeed,Inc.
00:02:3E;Selta Telematic
00:02:3F;Compal Electron
00:02:40;Seedek Co.,Ltd.
00:02:41;Amer.com
00:02:42;Videoframe Syst
00:02:43;Raysis Co.,Ltd.
00:02:44;SURECOM Technol
00:02:45;Lampus Co,Ltd.
00:02:46;All-Win Tech Co
00:02:47;Great Dragon In
00:02:48;Pilz GmbH & Co.
00:02:49;Aviv Infocom Co
00:02:4A;Cisco Systems,I
00:02:4B;Cisco Systems,I
00:02:4C;SiByte,Inc.
00:02:4D;Mannesman Demat
00:02:4E;Datacard Group
00:02:4F;IPM Datacom S.R
00:02:50;Geyser Networks
00:02:51;Soma Networks,I
00:02:52;Carrier Corpora
00:02:53;Televideo,Inc.
00:02:54;WorldGate
00:02:55;IBM Corporation
00:02:56;Alpha Processor
00:02:57;Microcom Corp.
00:02:58;Flying Packets 
00:02:59;Tsann Kuen Chin
00:02:5A;Catena Networks
00:02:5B;Cambridge Silic
00:02:5C;SCI Systems (Ku
00:02:5D;Calix Networks
00:02:5E;High Technology
00:02:5F;Nortel Networks
00:02:60;Accordion Netwo
00:02:61;Tilgin AB
00:02:62;Soyo Group Soyo
00:02:63;UPS Manufacturi
00:02:64;AudioRamp.com
00:02:65;Virditech Co. L
00:02:66;Thermalogic Cor
00:02:67;NODE RUNNER,INC
00:02:68;Harris Governme
00:02:69;Nadatel Co.,Ltd
00:02:6A;Cocess Telecom 
00:02:6B;BCM Computers C
00:02:6C;Philips CFT
00:02:6D;Adept Telecom
00:02:6E;NeGeN Access,In
00:02:6F;Senao Internati
00:02:70;Crewave Co.,Ltd
00:02:71;Vpacket Communi
00:02:72;CC&C Technologi
00:02:73;Coriolis Networ
00:02:74;Tommy Technolog
00:02:75;SMART Technolog
00:02:76;Primax Electron
00:02:77;Cash Systemes I
00:02:78;Samsung Electro
00:02:79;Control Applica
00:02:7A;IOI Technology 
00:02:7B;Amplify Net,Inc
00:02:7C;Trilithic,Inc.
00:02:7D;Cisco Systems,I
00:02:7E;Cisco Systems,I
00:02:7F;ask-technologie
00:02:80;Mu Net,Inc.
00:02:81;Madge Ltd.
00:02:82;ViaClix,Inc.
00:02:83;Spectrum Contro
00:02:84;AREVA T&D
00:02:85;Riverstone Netw
00:02:86;Occam Networks
00:02:87;Adapcom
00:02:88;GLOBAL VILLAGE 
00:02:89;DNE Technologie
00:02:8A;Ambit Microsyst
00:02:8B;VDSL Systems OY
00:02:8C;Micrel-Synergy 
00:02:8D;Movita Technolo
00:02:8E;Rapid 5 Network
00:02:8F;Globetek,Inc.
00:02:90;Woorigisool,Inc
00:02:91;Open Network Co
00:02:92;Logic Innovatio
00:02:93;Solid Data Syst
00:02:94;Tokyo Sokushin 
00:02:95;IP.Access Limit
00:02:96;Lectron Co,. Lt
00:02:97;C-COR.net
00:02:98;Broadframe Corp
00:02:99;Apex,Inc.
00:02:9A;Storage Apps
00:02:9B;Kreatel Communi
00:02:9C;3COM
00:02:9D;Merix Corp.
00:02:9E;Information Equ
00:02:9F;L-3 Communicati
00:02:A0;Flatstack Ltd.
00:02:A1;World Wide Pack
00:02:A2;Hilscher GmbH
00:02:A3;ABB Switzerland
00:02:A4;AddPac Technolo
00:02:A5;Hewlett Packard
00:02:A6;Effinet Systems
00:02:A7;Vivace Networks
00:02:A8;Air Link Techno
00:02:A9;RACOM,s.r.o.
00:02:AA;PLcom Co.,Ltd.
00:02:AB;CTC Union Techn
00:02:AC;3PAR data
00:02:AD;HOYA Corporatio
00:02:AE;Scannex Electro
00:02:AF;TeleCruz Techno
00:02:B0;Hokubu Communic
00:02:B1;Anritsu,Ltd.
00:02:B2;Cablevision
00:02:B3;Intel Corporati
00:02:B4;DAPHNE
00:02:B5;Avnet,Inc.
00:02:B6;Acrosser Techno
00:02:B7;Watanabe Electr
00:02:B8;WHI KONSULT AB
00:02:B9;Cisco Systems,I
00:02:BA;Cisco Systems,I
00:02:BB;Continuous Comp
00:02:BC;LVL 7 Systems,I
00:02:BD;Bionet Co.,Ltd.
00:02:BE;Totsu Engineeri
00:02:BF;dotRocket,Inc.
00:02:C0;Bencent Tzeng I
00:02:C1;Innovative Elec
00:02:C2;Net Vision Tele
